FOV_ID	ROI_ID	num_spots	integrated_spotInt	max_spotInt	ROI_Volume	channel	fileName	maskFileName
1	26	5	1762888.04087241	467003.912914599	19826	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	19	6319378.88460882	546728.949947158	62893	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	6	2279975.28730227	555584.036244544	48160	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	21	9071704.9996609	791644.768415022	79968	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	6	2531010.43408525	679624.593625035	63058	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	12	4186723.09614598	742411.85114114	78003	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	14	5891478.26749342	844381.14950747	84309	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	19	5801640.68267224	882243.562987063	98123	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	9	3993097.0162534	785618.919092177	77715	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	17	6993299.56707644	715745.671339415	77501	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	31	11726158.7599318	1293216.17781143	125099	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	21	7271945.49738029	764087.87597648	118277	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	6	3103266.08933581	709887.725981261	62406	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	24	9917416.34805092	742931.707854176	89634	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	6	2700239.88290177	702544.993964205	57841	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	25	10279704.760688	824675.048781606	125225	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	4	1131621.76338151	356265.769477739	53140	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
1	26	57	20613822.7584878	945058.131048418	19826	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	136	55707856.5723203	864505.044070831	62893	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	82	30694136.9192996	1034366.9052996	48160	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	150	59816593.9124636	1163137.78460918	79968	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	127	49973652.7623616	898490.03333764	63058	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
