FOV_ID	ROI_ID	num_spots	integrated_spotInt	ROI_volume	channel	filename	mask_filename
1	26	5	1762888.04087241	19826	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	19	6319378.88460882	62893	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	6	2279975.28730227	48160	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	21	9071704.9996609	79968	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	6	2531010.43408525	63058	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	12	4186723.09614598	78003	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	14	5891478.26749342	84309	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	19	5801640.68267224	98123	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	9	3993097.0162534	77715	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	17	6993299.56707644	77501	1	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C2-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	26	57	20613822.7584878	19826	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	136	55707856.5723203	62893	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	82	30694136.9192996	48160	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	150	59816593.9124636	79968	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	127	49973652.7623616	63058	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	197	74619911.3150165	78003	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	142	53627839.6430796	84309	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	197	73694390.1200797	98123	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	186	66367336.9831426	77715	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	170	62996784.9851915	77501	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	26	33	9895340.30387519	19826	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	140	49024526.1737904	62893	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	75	26519901.0082706	48160	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	180	66654732.1715043	79968	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	125	44347846.9168978	63058	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	157	53903838.9574161	78003	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	143	46077276.2458607	84309	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	144	51695214.8664112	98123	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	138	45314806.4910909	77715	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	171	53986375.4156495	77501	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	26	4	3069471.74821442	19826	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	8	2731432.02254051	62893	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
